ID,Faixa_etaria,Idade,Sexo,Genero,Cor_raca,Residencia_fixa,Tempo_rua_RJ,Voltar_cidade_natal
0,18 a 30,22,Masculino,Homem Cis,Preta,Não,NS/NR,Não se aplica
1,31 a 49,45,Masculino,Homem Cis,Preta,Sim,Mais de 1 mês até 6 meses,Não
2,31 a 49,44,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
3,50 a 59,57,Feminino,Mulher Cis,Branca,Não,Mais de 15 anos,Não se aplica
4,31 a 49,32,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,Não se aplica
5,31 a 49,31,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Sim
6,31 a 49,47,Masculino,Homem Cis,Parda,Não,Mais de 6 meses até 1 ano,Sim
7,50 a 59,55,Masculino,Homem Cis,Branca,Não,Mais de 1 mês até 6 meses,Não se aplica
8,31 a 49,31,Feminino,Mulher Cis,Preta,Não,Mais de 1 mês até 6 meses,Sim
9,31 a 49,40,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não
10,31 a 49,48,Masculino,Homem Cis,Preta,Não,Mais de 1 ano até 5 anos,NS/NR
11,50 a 59,53,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Sim
12,18 a 30,29,Masculino,Homem Cis,Parda,Sim,Mais de 1 ano até 5 anos,Não
13,31 a 49,49,Feminino,Mulher Cis,Parda,Sim,Mais de 1 mês até 6 meses,Não se aplica
14,31 a 49,42,Masculino,Homem Cis,Parda,Sim,Mais de 10 anos até 15 anos,Não
15,31 a 49,37,Masculino,Homem Cis,Preta,Sim,Mais de 10 anos até 15 anos,Sim
16,18 a 30,28,Masculino,Homem Cis,Parda,Não,Mais de 1 ano até 5 anos,Não
17,18 a 30,30,Masculino,Homem Cis,Parda,Sim,Mais de 15 anos,Não se aplica
18,31 a 49,31,Masculino,Homem Cis,Amarela,Sim,Mais de 1 ano até 5 anos,Não se aplica
19,50 a 59,54,Masculino,Homem Cis,Parda,Não,Mais de 5 ano até 10 anos,Não se aplica
20,18 a 30,21,Feminino,Mulher Cis,Parda,Não,Mais de 15 anos,Não se aplica
21,31 a 49,35,Masculino,Homem Cis,Preta,Não,Mais de 10 anos até 15 anos,Não se aplica
22,31 a 49,40,Masculino,Homem Cis,Parda,Não,Mais de 15 anos,Sim
23,31 a 49,45,Masculino,Homem Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
24,31 a 49,45,Masculino,Homem Cis,Preta,Sim,Mais de 5 ano até 10 anos,Não se aplica
25,60 a 69,60,Feminino,Mulher Cis,Preta,Não,Mais de 5 ano até 10 anos,Não se aplica
26,31 a 49,38,Masculino,Homem Cis,Preta,Sim,Mais de 1 ano até 5 anos,Não se aplica
27,18 a 30,21,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
28,31 a 49,40,Masculino,Homem Cis,Branca,Não,Mais de 5 ano até 10 anos,Não se aplica
29,31 a 49,45,Masculino,Homem Cis,Parda,Não,Mais de 10 anos até 15 anos,Não se aplica
30,18 a 30,19,Masculino,Homem Cis,Parda,Não,Mais de 1 mês até 6 meses,Não se aplica
31,70 a 79,75,Masculino,Homem Cis,Branca,Não,Mais de 1 ano até 5 anos,Sim
