ID,Rua_Acolhimento,Motivo_dormir_rua
0,Rua,NS/NR
1,Rua,Desentendimentos na comunidade ou vizinhança
2,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
3,Rua,Demissão do trabalho/desemprego ou perda da renda
4,Rua,Alcoolismo e/ou uso de drogas
5,Rua,Conflitos familiares (inclui separação)
6,Rua,Demissão do trabalho/desemprego ou perda da renda
7,Rua,Conflitos familiares (inclui separação)
8,Rua,Demissão do trabalho/desemprego ou perda da renda
9,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
10,Rua,Conflitos familiares (inclui separação)
11,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
12,Rua,Conflitos familiares (inclui separação)
13,Rua,Outros
14,Rua,Outros
15,Rua,Outros
16,Rua,Conflitos familiares (inclui separação)
17,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
18,Rua,Conflitos familiares (inclui separação)
19,Rua,Conflitos familiares (inclui separação)
20,Rua,Conflitos familiares (inclui separação)
21,Rua,Conflitos familiares (inclui separação)
22,Rua,Andarilho / Nômade / Viajante
23,Rua,Alcoolismo e/ou uso de drogas
24,Rua,Alcoolismo e/ou uso de drogas
25,Rua,Outros
26,Rua,Demissão do trabalho/desemprego ou perda da renda
27,Rua,Alcoolismo e/ou uso de drogas
28,Rua,Conflitos familiares (inclui separação)
29,Rua,Conflitos familiares (inclui separação)
30,Rua,Outros
31,Rua,Conflitos familiares (inclui separação)
32,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
33,Rua,Outros
34,Rua,Alcoolismo e/ou uso de drogas
35,Rua,Conflitos familiares (inclui separação)
36,Rua,Conflitos familiares (inclui separação)
37,Rua,Demissão do trabalho/desemprego ou perda da renda
38,Rua,Conflitos familiares (inclui separação)
39,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
40,Rua,Outros
41,Rua,"Sofria ameaças, abusos ou violência"
42,Rua,Demissão do trabalho/desemprego ou perda da renda
43,Rua,Alcoolismo e/ou uso de drogas
44,Rua,Demissão do trabalho/desemprego ou perda da renda
45,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
46,Rua,NS/NR
47,Rua,Outros
48,Rua,Conflitos familiares (inclui separação)
49,Rua,Outros
50,Rua,Conflitos familiares (inclui separação)
51,Rua,Nasci na rua e permaneço nela
52,Rua,Conflitos familiares (inclui separação)
53,Rua,Andarilho / Nômade / Viajante
54,Rua,Desentendimentos na comunidade ou vizinhança
55,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
56,Rua,Conflitos familiares (inclui separação)
57,Rua,Conflitos familiares (inclui separação)
58,Rua,Conflitos familiares (inclui separação)
59,Rua,Conflitos familiares (inclui separação)
60,Rua,Conflitos familiares (inclui separação)
61,Rua,Conflitos familiares (inclui separação)
62,Rua,Demissão do trabalho/desemprego ou perda da renda
63,Rua,Alcoolismo e/ou uso de drogas
64,Rua,Alcoolismo e/ou uso de drogas
65,Rua,Demissão do trabalho/desemprego ou perda da renda
66,Rua,Alcoolismo e/ou uso de drogas
67,Rua,Andarilho / Nômade / Viajante
68,Rua,Alcoolismo e/ou uso de drogas
69,Rua,Conflitos familiares (inclui separação)
70,Rua,Conflitos familiares (inclui separação)
71,Rua,Alcoolismo e/ou uso de drogas
72,Rua,Conflitos familiares (inclui separação)
73,Rua,Desentendimentos na comunidade ou vizinhança
74,Rua,Conflitos familiares (inclui separação)
75,Rua,Conflitos familiares (inclui separação)
76,Rua,Alcoolismo e/ou uso de drogas
77,Rua,Conflitos familiares (inclui separação)
78,Rua,Alcoolismo e/ou uso de drogas
79,Rua,Conflitos familiares (inclui separação)
80,Rua,Conflitos familiares (inclui separação)
81,Rua,Demissão do trabalho/desemprego ou perda da renda
82,Rua,Família passou a viver na rua
83,Rua,Conflitos familiares (inclui separação)
84,Rua,Demissão do trabalho/desemprego ou perda da renda
85,Rua,Conflitos familiares (inclui separação)
86,Rua,Demissão do trabalho/desemprego ou perda da renda
87,Rua,Outros
88,Rua,Alcoolismo e/ou uso de drogas
89,Rua,"Sofria ameaças, abusos ou violência"
90,Rua,"Sofria ameaças, abusos ou violência"
91,Rua,Conflitos familiares (inclui separação)
92,Rua,Conflitos familiares (inclui separação)
93,Rua,Família passou a viver na rua
94,Rua,Conflitos familiares (inclui separação)
95,Rua,Alcoolismo e/ou uso de drogas
96,Rua,Conflitos familiares (inclui separação)
97,Rua,Outros
98,Rua,Conflitos familiares (inclui separação)
99,Rua,Conflitos familiares (inclui separação)
100,Rua,Conflitos familiares (inclui separação)
101,Rua,Conflitos familiares (inclui separação)
102,Rua,Alcoolismo e/ou uso de drogas
103,Rua,Alcoolismo e/ou uso de drogas
104,Rua,Conflitos familiares (inclui separação)
105,Rua,Conflitos familiares (inclui separação)
106,Rua,Conflitos familiares (inclui separação)
107,Rua,Conflitos familiares (inclui separação)
108,Rua,NS/NR
109,Rua,Demissão do trabalho/desemprego ou perda da renda
110,Rua,Andarilho / Nômade / Viajante
111,Rua,Conflitos familiares (inclui separação)
112,Rua,Alcoolismo e/ou uso de drogas
113,Rua,Conflitos familiares (inclui separação)
114,Rua,Demissão do trabalho/desemprego ou perda da renda
115,Rua,Conflitos familiares (inclui separação)
116,Rua,"Sofria ameaças, abusos ou violência"
117,Rua,Alcoolismo e/ou uso de drogas
118,Rua,Conflitos familiares (inclui separação)
119,Rua,Conflitos familiares (inclui separação)
120,Rua,Conflitos familiares (inclui separação)
121,Rua,Outros
122,Rua,Conflitos familiares (inclui separação)
123,Rua,Alcoolismo e/ou uso de drogas
124,Rua,Alcoolismo e/ou uso de drogas
125,Rua,Demissão do trabalho/desemprego ou perda da renda
126,Rua,Conflitos familiares (inclui separação)
127,Rua,Conflitos familiares (inclui separação)
128,Rua,Outros
129,Rua,Conflitos familiares (inclui separação)
130,Rua,Demissão do trabalho/desemprego ou perda da renda
131,Rua,Conflitos familiares (inclui separação)
132,Rua,Demissão do trabalho/desemprego ou perda da renda
133,Rua,Alcoolismo e/ou uso de drogas
134,Rua,Andarilho / Nômade / Viajante
135,Rua,Alcoolismo e/ou uso de drogas
136,Rua,Demissão do trabalho/desemprego ou perda da renda
137,Rua,Alcoolismo e/ou uso de drogas
138,Rua,Alcoolismo e/ou uso de drogas
139,Rua,Alcoolismo e/ou uso de drogas
140,Rua,Outros
141,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
142,Rua,Alcoolismo e/ou uso de drogas
143,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
144,Rua,Alcoolismo e/ou uso de drogas
145,Rua,Alcoolismo e/ou uso de drogas
146,Rua,Migrantes ou refugiado
147,Rua,Conflitos familiares (inclui separação)
148,Rua,Conflitos familiares (inclui separação)
149,Rua,Alcoolismo e/ou uso de drogas
150,Rua,Conflitos familiares (inclui separação)
151,Rua,Conflitos familiares (inclui separação)
152,Rua,Alcoolismo e/ou uso de drogas
153,Rua,Conflitos familiares (inclui separação)
154,Rua,Alcoolismo e/ou uso de drogas
155,Rua,Outros
156,Rua,Conflitos familiares (inclui separação)
157,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
158,Rua,Para ficar perto do trabalho/ sem passagem para voltar para casa (mais de uma vez)
159,Rua,Conflitos familiares (inclui separação)
160,Rua,Alcoolismo e/ou uso de drogas
161,Rua,Alcoolismo e/ou uso de drogas
162,Rua,Conflitos familiares (inclui separação)
163,Rua,Alcoolismo e/ou uso de drogas
164,Rua,Alcoolismo e/ou uso de drogas
165,Rua,Conflitos familiares (inclui separação)
166,Rua,Outros
167,Rua,Demissão do trabalho/desemprego ou perda da renda
168,Rua,Outros
169,Rua,Conflitos familiares (inclui separação)
170,Rua,Conflitos familiares (inclui separação)
171,Rua,Conflitos familiares (inclui separação)
172,Rua,Conflitos familiares (inclui separação)
173,Rua,Migrantes ou refugiado
174,Rua,Conflitos familiares (inclui separação)
175,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
176,Rua,Conflitos familiares (inclui separação)
177,Rua,Conflitos familiares (inclui separação)
178,Rua,Conflitos familiares (inclui separação)
179,Rua,Outros
180,Rua,Alcoolismo e/ou uso de drogas
181,Rua,Alcoolismo e/ou uso de drogas
182,Rua,Outros
183,Rua,Alcoolismo e/ou uso de drogas
184,Rua,Conflitos familiares (inclui separação)
185,Rua,Conflitos familiares (inclui separação)
186,Rua,Conflitos familiares (inclui separação)
187,Rua,Outros
188,Rua,Conflitos familiares (inclui separação)
189,Rua,Conflitos familiares (inclui separação)
190,Rua,Conflitos familiares (inclui separação)
191,Rua,Saída do sistema prisional (Casa de detenção/cadeia/penitenciária/ DEGASE)
192,Rua,Demissão do trabalho/desemprego ou perda da renda
193,Rua,Conflitos familiares (inclui separação)
194,Rua,Conflitos familiares (inclui separação)
195,Rua,Conflitos familiares (inclui separação)
196,Rua,Alcoolismo e/ou uso de drogas
197,Rua,Conflitos familiares (inclui separação)
198,Rua,Conflitos familiares (inclui separação)
199,Rua,NS/NR
200,Rua,Conflitos familiares (inclui separação)
201,Rua,Demissão do trabalho/desemprego ou perda da renda
202,Rua,Outros
203,Rua,Demissão do trabalho/desemprego ou perda da renda
204,Rua,"Sofria ameaças, abusos ou violência"
205,Rua,Família passou a viver na rua
206,Rua,Migrantes ou refugiado
207,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
208,Rua,Conflitos familiares (inclui separação)
209,Rua,Nasci na rua e permaneço nela
210,Rua,Alcoolismo e/ou uso de drogas
211,Rua,Demissão do trabalho/desemprego ou perda da renda
212,Rua,Conflitos familiares (inclui separação)
213,Rua,Alcoolismo e/ou uso de drogas
214,Rua,Demissão do trabalho/desemprego ou perda da renda
215,Rua,Demissão do trabalho/desemprego ou perda da renda
216,Rua,Conflitos familiares (inclui separação)
217,Rua,Demissão do trabalho/desemprego ou perda da renda
218,Rua,Conflitos familiares (inclui separação)
219,Rua,Conflitos familiares (inclui separação)
220,Rua,Conflitos familiares (inclui separação)
221,Rua,Alcoolismo e/ou uso de drogas
222,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
223,Rua,Alcoolismo e/ou uso de drogas
224,Rua,Alcoolismo e/ou uso de drogas
225,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
226,Rua,Conflitos familiares (inclui separação)
227,Rua,Conflitos familiares (inclui separação)
228,Rua,Demissão do trabalho/desemprego ou perda da renda
229,Rua,Conflitos familiares (inclui separação)
230,Rua,Família passou a viver na rua
231,Rua,Conflitos familiares (inclui separação)
232,Rua,Conflitos familiares (inclui separação)
233,Rua,Conflitos familiares (inclui separação)
234,Rua,Alcoolismo e/ou uso de drogas
235,Rua,NS/NR
236,Rua,Outros
237,Rua,Conflitos familiares (inclui separação)
238,Rua,Alcoolismo e/ou uso de drogas
239,Rua,Conflitos familiares (inclui separação)
240,Rua,Alcoolismo e/ou uso de drogas
241,Rua,"Sofria ameaças, abusos ou violência"
242,Rua,Família passou a viver na rua
243,Rua,Alcoolismo e/ou uso de drogas
244,Rua,Conflitos familiares (inclui separação)
245,Rua,Alcoolismo e/ou uso de drogas
246,Rua,Conflitos familiares (inclui separação)
247,Rua,Conflitos familiares (inclui separação)
248,Rua,Conflitos familiares (inclui separação)
249,Rua,Conflitos familiares (inclui separação)
250,Rua,Demissão do trabalho/desemprego ou perda da renda
251,Rua,Conflitos familiares (inclui separação)
252,Rua,Conflitos familiares (inclui separação)
253,Rua,Conflitos familiares (inclui separação)
254,Rua,Conflitos familiares (inclui separação)
255,Rua,"Perda de casa por causas naturais/acidentes (ex: alagamentos, deslizamentos e incêndios)"
256,Rua,Demissão do trabalho/desemprego ou perda da renda
257,Rua,Demissão do trabalho/desemprego ou perda da renda
