nome_bairro,Codigo_da_RA
Paciência,19
Campo Grande,18
Recreio dos Bandeirantes,24
Bangu,17
Sepetiba,19
Padre Miguel,17
Vila Kennedy,17
Santíssimo,18
Realengo,33
Taquara,16
Cidade de Deus,34
Barra da Tijuca,24
Jacarepaguá,16
Freguesia (Jacarepaguá),16
Gardênia Azul,16
Magalhães Bastos,33
Santa Cruz,19
Itanhangá,24
Guaratiba,26
Praça Seca,16
Centro,2
Lapa,2
Estácio,3
Cidade Nova,3
Rio Comprido,3
Catumbi,3
Glória,4
Catete,4
Flamengo,4
Santo Cristo,1
Copacabana,5
Santa Teresa,23
Praça da Bandeira,8
Tanque,16
Anil,16
São Cristóvão,7
São Conrado,6
Leblon,6
Ipanema,6
Leme,5
Lagoa,6
Gávea,6
Botafogo,4
Laranjeiras,4
Humaitá,4
Jardim Botânico,6
Piedade,13
Méier,13
Lins de Vasconcelos,13
Inhaúma,12
Tijuca,8
Maracanã,9
Engenho de Dentro,13
Sampaio,13
Mangueira,7
Rocha Miranda,15
Turiaçú,15
Madureira,15
Cascadura,15
São Francisco Xavier,13
Vila Isabel,9
Higienópolis,12
Irajá,14
Marechal Hermes,15
Colégio,14
Rocha,13
Engenho Novo,13
Del Castilho,12
Penha,11
Penha Circular,11
Benfica,7
Caju,1
Brás de Pina,11
Jardim América,31
Parada de Lucas,31
Cordovil,31
Vigário Geral,31
Vicente de Carvalho,14
Pavuna,25
Cachambi,13
Anchieta,22
Maré,30
Andaraí,9
Grajaú,9
Cacuia,20
Ramos,10
Bonsucesso,10
Cavalcanti,15
Complexo do Alemão,29
Olaria,10
Cidade Universitária,20
Galeão,20
Jardim Carioca,20
Portuguesa,20
Jacarezinho,28
Pilares,13
Jardim Guanabara,20
Manguinhos,10
Pitangueiras,20
Cocotá,20
Jacaré,13
Cosmos,18
Senador Camará,17
Pechincha,16
Vidigal,6
Campinho,15
Bento Ribeiro,15
Riachuelo,13
Parque Colúmbia,25
Coelho Neto,25
Engenheiro Leal,15
Vila da Penha,14
Zumbi,20
Tauá,20
Maria da Graça,12
Alto da Boa Vista,8
Água Santa,13
Curicica,16
Vila Kosmos,14
Ribeira,20
Tomás Coelho,12
Costa Barros,25
Ricardo de Albuquerque,22
Gamboa,1
Saúde,1
Jardim Sulacap,33
Todos os Santos,13
Vila Valqueire,16
Camorim,24
Vila Militar,33
Barra de Guaratiba,26
Rocinha,27
Acari,25
Moneró,20
Pedra de Guaratiba,26
