ID,Turno,Codigo_da_RA
0,Manhã,19
1,Manhã,18
2,Manhã,18
3,Manhã,18
4,Manhã,18
5,Manhã,18
6,Noite,24
7,Noite,24
8,Noite,24
9,Noite,24
10,Manhã,24
11,Manhã,24
12,Manhã,24
13,Manhã,18
14,Manhã,18
15,Manhã,18
16,Manhã,18
17,Manhã,18
18,Manhã,18
19,Manhã,18
20,Manhã,18
21,Manhã,18
22,Manhã,18
23,Manhã,18
24,Manhã,18
25,Manhã,18
26,Manhã,17
27,Manhã,17
28,Manhã,17
29,Manhã,17
30,Manhã,17
31,Manhã,19
32,Manhã,19
33,Manhã,19
34,Manhã,19
35,Manhã,24
36,Manhã,24
37,Manhã,24
38,Manhã,24
39,Manhã,24
40,Tarde,17
41,Tarde,17
42,Tarde,17
43,Manhã,17
44,Tarde,17
45,Manhã,24
46,Manhã,24
47,Manhã,24
48,Manhã,24
49,Manhã,24
50,Manhã,24
51,Manhã,24
52,Tarde,24
53,Manhã,24
54,Manhã,24
55,Manhã,24
56,Manhã,24
57,Tarde,24
58,Manhã,17
59,Manhã,17
60,Manhã,17
61,Manhã,17
62,Tarde,17
63,Tarde,18
64,Tarde,18
65,Tarde,18
66,Manhã,17
67,Manhã,17
68,Manhã,17
69,Manhã,17
70,Tarde,17
71,Manhã,17
72,Tarde,17
73,Manhã,18
74,Tarde,17
75,Manhã,17
76,Manhã,33
77,Manhã,17
78,Manhã,17
79,Manhã,17
80,Manhã,17
81,Manhã,17
82,Manhã,17
83,Manhã,17
84,Tarde,17
85,Tarde,17
86,Tarde,17
87,Manhã,16
88,Manhã,34
89,Manhã,33
90,Manhã,17
91,Manhã,17
92,Manhã,17
93,Manhã,17
94,Manhã,17
95,Manhã,17
96,Manhã,18
97,Manhã,18
98,Manhã,18
99,Tarde,18
100,Manhã,18
101,Manhã,18
102,Manhã,18
103,Manhã,18
104,Manhã,18
105,Manhã,24
106,Manhã,24
107,Manhã,24
108,Manhã,24
109,Manhã,24
110,Tarde,24
111,Manhã,24
112,Tarde,24
113,Tarde,24
114,Tarde,24
115,Tarde,24
116,Manhã,18
117,Manhã,18
118,Manhã,18
119,Manhã,18
120,Manhã,18
121,Manhã,18
122,Manhã,18
123,Manhã,33
124,Manhã,33
125,Manhã,33
126,Manhã,33
127,Manhã,33
128,Manhã,33
129,Manhã,17
