morador_id,codigo
2,codigo_DOC1
2,codigo_DOC3
2,codigo_DOC4
2,codigo_DOC5
3,codigo_DOC1
3,codigo_DOC2
3,codigo_DOC3
3,codigo_DOC4
4,codigo_DOC2
4,codigo_DOC5
5,codigo_DOC1
5,codigo_DOC2
5,codigo_DOC3
6,codigo_DOC2
7,codigo_DOC4
8,codigo_DOC1
8,codigo_DOC2
8,codigo_DOC3
8,codigo_DOC4
9,codigo_DOC2
10,codigo_DOC2
10,codigo_DOC3
11,codigo_DOC1
11,codigo_DOC2
11,codigo_DOC3
11,codigo_DOC4
11,codigo_DOC5
12,codigo_DOC1
12,codigo_DOC2
12,codigo_DOC3
12,codigo_DOC4
13,codigo_DOC1
13,codigo_DOC2
13,codigo_DOC3
15,codigo_DOC2
15,codigo_DOC3
17,codigo_DOC2
18,codigo_DOC1
18,codigo_DOC2
18,codigo_DOC3
18,codigo_DOC5
20,codigo_DOC1
20,codigo_DOC2
20,codigo_DOC3
20,codigo_DOC5
24,codigo_DOC1
24,codigo_DOC2
24,codigo_DOC4
24,codigo_DOC5
27,codigo_DOC1
27,codigo_DOC2
28,codigo_DOC5
30,codigo_DOC1
30,codigo_DOC2
30,codigo_DOC3
31,codigo_DOC1
31,codigo_DOC2
31,codigo_DOC4
32,codigo_DOC1
32,codigo_DOC2
32,codigo_DOC3
32,codigo_DOC4
32,codigo_DOC5
36,codigo_DOC1
36,codigo_DOC2
36,codigo_DOC3
36,codigo_DOC4
36,codigo_DOC5
38,codigo_DOC3
39,codigo_DOC2
40,codigo_DOC1
40,codigo_DOC3
41,codigo_DOC2
41,codigo_DOC4
41,codigo_DOC5
42,codigo_DOC2
43,codigo_DOC2
45,codigo_DOC2
46,codigo_DOC1
46,codigo_DOC2
46,codigo_DOC3
46,codigo_DOC4
46,codigo_DOC5
47,codigo_DOC2
47,codigo_DOC3
48,codigo_DOC1
48,codigo_DOC2
48,codigo_DOC3
48,codigo_DOC4
48,codigo_DOC5
49,codigo_DOC1
49,codigo_DOC2
49,codigo_DOC3
49,codigo_DOC4
49,codigo_DOC5
50,codigo_DOC2
52,codigo_DOC1
52,codigo_DOC3
52,codigo_DOC4
52,codigo_DOC5
53,codigo_DOC1
53,codigo_DOC2
53,codigo_DOC3
56,codigo_DOC3
58,codigo_DOC1
58,codigo_DOC3
58,codigo_DOC4
58,codigo_DOC5
59,codigo_DOC1
59,codigo_DOC3
59,codigo_DOC4
59,codigo_DOC5
60,codigo_DOC1
60,codigo_DOC2
60,codigo_DOC3
61,codigo_DOC1
61,codigo_DOC2
61,codigo_DOC3
61,codigo_DOC4
61,codigo_DOC5
62,codigo_DOC1
62,codigo_DOC2
62,codigo_DOC3
62,codigo_DOC4
62,codigo_DOC5
63,codigo_DOC1
63,codigo_DOC2
63,codigo_DOC3
65,codigo_DOC1
65,codigo_DOC2
65,codigo_DOC3
65,codigo_DOC5
67,codigo_DOC1
67,codigo_DOC2
67,codigo_DOC3
67,codigo_DOC4
67,codigo_DOC5
68,codigo_DOC1
68,codigo_DOC2
68,codigo_DOC3
68,codigo_DOC4
68,codigo_DOC5
69,codigo_DOC1
69,codigo_DOC2
74,codigo_DOC2
74,codigo_DOC3
75,codigo_DOC1
75,codigo_DOC2
75,codigo_DOC3
75,codigo_DOC4
75,codigo_DOC5
76,codigo_DOC1
