ID,Codigo_da_RA,nome_bairro
0,19,Paciência
0,19,Sepetiba
0,19,Santa Cruz
31,19,Paciência
31,19,Sepetiba
31,19,Santa Cruz
32,19,Paciência
32,19,Sepetiba
32,19,Santa Cruz
33,19,Paciência
33,19,Sepetiba
33,19,Santa Cruz
34,19,Paciência
34,19,Sepetiba
34,19,Santa Cruz
160,19,Paciência
160,19,Sepetiba
160,19,Santa Cruz
161,19,Paciência
161,19,Sepetiba
161,19,Santa Cruz
162,19,Paciência
162,19,Sepetiba
162,19,Santa Cruz
163,19,Paciência
163,19,Sepetiba
163,19,Santa Cruz
164,19,Paciência
164,19,Sepetiba
164,19,Santa Cruz
165,19,Paciência
165,19,Sepetiba
165,19,Santa Cruz
166,19,Paciência
166,19,Sepetiba
166,19,Santa Cruz
167,19,Paciência
167,19,Sepetiba
167,19,Santa Cruz
168,19,Paciência
168,19,Sepetiba
168,19,Santa Cruz
169,19,Paciência
169,19,Sepetiba
169,19,Santa Cruz
170,19,Paciência
170,19,Sepetiba
170,19,Santa Cruz
171,19,Paciência
171,19,Sepetiba
171,19,Santa Cruz
207,19,Paciência
207,19,Sepetiba
207,19,Santa Cruz
208,19,Paciência
208,19,Sepetiba
208,19,Santa Cruz
209,19,Paciência
209,19,Sepetiba
209,19,Santa Cruz
210,19,Paciência
210,19,Sepetiba
210,19,Santa Cruz
211,19,Paciência
211,19,Sepetiba
211,19,Santa Cruz
212,19,Paciência
212,19,Sepetiba
212,19,Santa Cruz
213,19,Paciência
213,19,Sepetiba
213,19,Santa Cruz
214,19,Paciência
214,19,Sepetiba
214,19,Santa Cruz
215,19,Paciência
215,19,Sepetiba
215,19,Santa Cruz
216,19,Paciência
216,19,Sepetiba
216,19,Santa Cruz
225,19,Paciência
225,19,Sepetiba
225,19,Santa Cruz
226,19,Paciência
226,19,Sepetiba
226,19,Santa Cruz
227,19,Paciência
227,19,Sepetiba
227,19,Santa Cruz
228,19,Paciência
228,19,Sepetiba
228,19,Santa Cruz
229,19,Paciência
229,19,Sepetiba
229,19,Santa Cruz
230,19,Paciência
230,19,Sepetiba
230,19,Santa Cruz
231,19,Paciência
231,19,Sepetiba
231,19,Santa Cruz
232,19,Paciência
232,19,Sepetiba
232,19,Santa Cruz
233,19,Paciência
233,19,Sepetiba
233,19,Santa Cruz
236,19,Paciência
236,19,Sepetiba
236,19,Santa Cruz
238,19,Paciência
238,19,Sepetiba
238,19,Santa Cruz
240,19,Paciência
240,19,Sepetiba
240,19,Santa Cruz
279,19,Paciência
279,19,Sepetiba
279,19,Santa Cruz
280,19,Paciência
280,19,Sepetiba
280,19,Santa Cruz
281,19,Paciência
281,19,Sepetiba
281,19,Santa Cruz
282,19,Paciência
282,19,Sepetiba
282,19,Santa Cruz
283,19,Paciência
283,19,Sepetiba
283,19,Santa Cruz
284,19,Paciência
284,19,Sepetiba
284,19,Santa Cruz
285,19,Paciência
285,19,Sepetiba
285,19,Santa Cruz
286,19,Paciência
286,19,Sepetiba
286,19,Santa Cruz
287,19,Paciência
287,19,Sepetiba
287,19,Santa Cruz
299,19,Paciência
299,19,Sepetiba
299,19,Santa Cruz
300,19,Paciência
300,19,Sepetiba
300,19,Santa Cruz
301,19,Paciência
301,19,Sepetiba
301,19,Santa Cruz
305,19,Paciência
305,19,Sepetiba
305,19,Santa Cruz
306,19,Paciência
306,19,Sepetiba
306,19,Santa Cruz
307,19,Paciência
307,19,Sepetiba
307,19,Santa Cruz
308,19,Paciência
308,19,Sepetiba
308,19,Santa Cruz
309,19,Paciência
309,19,Sepetiba
309,19,Santa Cruz
310,19,Paciência
310,19,Sepetiba
310,19,Santa Cruz
311,19,Paciência
311,19,Sepetiba
311,19,Santa Cruz
312,19,Paciência
312,19,Sepetiba
312,19,Santa Cruz
313,19,Paciência
313,19,Sepetiba
313,19,Santa Cruz
314,19,Paciência
314,19,Sepetiba
314,19,Santa Cruz
315,19,Paciência
315,19,Sepetiba
315,19,Santa Cruz
375,19,Paciência
375,19,Sepetiba
375,19,Santa Cruz
376,19,Paciência
376,19,Sepetiba
376,19,Santa Cruz
2273,19,Paciência
2273,19,Sepetiba
2273,19,Santa Cruz
2286,19,Paciência
2286,19,Sepetiba
2286,19,Santa Cruz
2288,19,Paciência
2288,19,Sepetiba
2288,19,Santa Cruz
2358,19,Paciência
2358,19,Sepetiba
2358,19,Santa Cruz
2359,19,Paciência
2359,19,Sepetiba
2359,19,Santa Cruz
2382,19,Paciência
2382,19,Sepetiba
2382,19,Santa Cruz
2383,19,Paciência
2383,19,Sepetiba
2383,19,Santa Cruz
2398,19,Paciência
2398,19,Sepetiba
2398,19,Santa Cruz
2399,19,Paciência
2399,19,Sepetiba
2399,19,Santa Cruz
2415,19,Paciência
2415,19,Sepetiba
2415,19,Santa Cruz
2418,19,Paciência
2418,19,Sepetiba
2418,19,Santa Cruz
2419,19,Paciência
2419,19,Sepetiba
2419,19,Santa Cruz
2420,19,Paciência
2420,19,Sepetiba
2420,19,Santa Cruz
2421,19,Paciência
2421,19,Sepetiba
2421,19,Santa Cruz
2422,19,Paciência
2422,19,Sepetiba
2422,19,Santa Cruz
2423,19,Paciência
2423,19,Sepetiba
2423,19,Santa Cruz
2424,19,Paciência
2424,19,Sepetiba
2424,19,Santa Cruz
2425,19,Paciência
2425,19,Sepetiba
2425,19,Santa Cruz
2446,19,Paciência
2446,19,Sepetiba
2446,19,Santa Cruz
5442,19,Paciência
5442,19,Sepetiba
5442,19,Santa Cruz
5443,19,Paciência
5443,19,Sepetiba
5443,19,Santa Cruz
5457,19,Paciência
5457,19,Sepetiba
5457,19,Santa Cruz
5459,19,Paciência
5459,19,Sepetiba
5459,19,Santa Cruz
5465,19,Paciência
5465,19,Sepetiba
5465,19,Santa Cruz
5470,19,Paciência
5470,19,Sepetiba
5470,19,Santa Cruz
5484,19,Paciência
5484,19,Sepetiba
5484,19,Santa Cruz
5485,19,Paciência
5485,19,Sepetiba
5485,19,Santa Cruz
5492,19,Paciência
5492,19,Sepetiba
5492,19,Santa Cruz
5501,19,Paciência
5501,19,Sepetiba
5501,19,Santa Cruz
5509,19,Paciência
5509,19,Sepetiba
5509,19,Santa Cruz
5522,19,Paciência
5522,19,Sepetiba
5522,19,Santa Cruz
5524,19,Paciência
5524,19,Sepetiba
5524,19,Santa Cruz
5530,19,Paciência
5530,19,Sepetiba
5530,19,Santa Cruz
5536,19,Paciência
5536,19,Sepetiba
5536,19,Santa Cruz
5544,19,Paciência
5544,19,Sepetiba
5544,19,Santa Cruz
5548,19,Paciência
5548,19,Sepetiba
5548,19,Santa Cruz
5550,19,Paciência
5550,19,Sepetiba
5550,19,Santa Cruz
5551,19,Paciência
5551,19,Sepetiba
5551,19,Santa Cruz
5553,19,Paciência
5553,19,Sepetiba
5553,19,Santa Cruz
5554,19,Paciência
5554,19,Sepetiba
5554,19,Santa Cruz
5557,19,Paciência
5557,19,Sepetiba
5557,19,Santa Cruz
5558,19,Paciência
5558,19,Sepetiba
5558,19,Santa Cruz
5561,19,Paciência
5561,19,Sepetiba
5561,19,Santa Cruz
5582,19,Paciência
5582,19,Sepetiba
5582,19,Santa Cruz
5586,19,Paciência
5586,19,Sepetiba
5586,19,Santa Cruz
5595,19,Paciência
5595,19,Sepetiba
5595,19,Santa Cruz
5600,19,Paciência
5600,19,Sepetiba
5600,19,Santa Cruz
5608,19,Paciência
5608,19,Sepetiba
5608,19,Santa Cruz
5609,19,Paciência
5609,19,Sepetiba
5609,19,Santa Cruz
5610,19,Paciência
5610,19,Sepetiba
5610,19,Santa Cruz
5616,19,Paciência
5616,19,Sepetiba
5616,19,Santa Cruz
5617,19,Paciência
5617,19,Sepetiba
5617,19,Santa Cruz
5619,19,Paciência
5619,19,Sepetiba
5619,19,Santa Cruz
5625,19,Paciência
5625,19,Sepetiba
5625,19,Santa Cruz
5632,19,Paciência
5632,19,Sepetiba
5632,19,Santa Cruz
5636,19,Paciência
5636,19,Sepetiba
5636,19,Santa Cruz
5641,19,Paciência
5641,19,Sepetiba
5641,19,Santa Cruz
5645,19,Paciência
5645,19,Sepetiba
5645,19,Santa Cruz
5646,19,Paciência
5646,19,Sepetiba
5646,19,Santa Cruz
5650,19,Paciência
5650,19,Sepetiba
5650,19,Santa Cruz
5660,19,Paciência
5660,19,Sepetiba
5660,19,Santa Cruz
5670,19,Paciência
5670,19,Sepetiba
5670,19,Santa Cruz
5674,19,Paciência
5674,19,Sepetiba
5674,19,Santa Cruz
5675,19,Paciência
5675,19,Sepetiba
5675,19,Santa Cruz
5677,19,Paciência
5677,19,Sepetiba
5677,19,Santa Cruz
5686,19,Paciência
5686,19,Sepetiba
5686,19,Santa Cruz
5689,19,Paciência
5689,19,Sepetiba
5689,19,Santa Cruz
5691,19,Paciência
5691,19,Sepetiba
5691,19,Santa Cruz
5696,19,Paciência
5696,19,Sepetiba
5696,19,Santa Cruz
5700,19,Paciência
5700,19,Sepetiba
5700,19,Santa Cruz
5710,19,Paciência
5710,19,Sepetiba
5710,19,Santa Cruz
5713,19,Paciência
5713,19,Sepetiba
5713,19,Santa Cruz
5728,19,Paciência
5728,19,Sepetiba
5728,19,Santa Cruz
5737,19,Paciência
