ID,SituacaoRua
0,Rua
1,Rua
2,Rua
3,Rua
4,Rua
5,Rua
6,Rua
7,Rua
8,Rua
9,Rua
10,Rua
11,Rua
12,Rua
13,Rua
14,Rua
15,Rua
16,Rua
17,Rua
18,Rua
19,Rua
20,Rua
21,Rua
22,Rua
23,Rua
24,Rua
25,Rua
26,Rua
27,Rua
28,Rua
29,Rua
30,Rua
31,Rua
32,Rua
33,Rua
34,Rua
35,Rua
36,Rua
37,Rua
38,Rua
39,Rua
40,Rua
41,Rua
42,Rua
43,Rua
44,Rua
45,Rua
46,Rua
47,Rua
48,Rua
49,Rua
50,Rua
51,Rua
52,Rua
53,Rua
54,Rua
55,Rua
56,Rua
57,Rua
58,Rua
59,Rua
60,Rua
61,Rua
62,Rua
63,Rua
64,Rua
65,Rua
66,Rua
67,Rua
68,Rua
69,Rua
70,Rua
71,Rua
72,Rua
73,Rua
74,Rua
75,Rua
76,Rua
77,Rua
78,Rua
79,Rua
80,Rua
81,Rua
82,Rua
83,Rua
84,Rua
85,Rua
86,Rua
87,Rua
88,Rua
89,Rua
90,Rua
91,Rua
92,Rua
93,Rua
94,Rua
95,Rua
96,Rua
97,Rua
98,Rua
99,Rua
100,Rua
101,Rua
102,Rua
103,Rua
104,Rua
105,Rua
106,Rua
107,Rua
108,Rua
109,Rua
110,Rua
111,Rua
112,Rua
113,Rua
114,Rua
115,Rua
116,Rua
117,Rua
118,Rua
119,Rua
120,Rua
121,Rua
122,Rua
123,Rua
124,Rua
125,Rua
126,Rua
127,Rua
128,Rua
129,Rua
130,Rua
131,Rua
132,Rua
133,Rua
134,Rua
135,Rua
136,Rua
137,Rua
138,Rua
139,Rua
140,Rua
141,Rua
142,Rua
143,Rua
144,Rua
145,Rua
146,Rua
147,Rua
148,Rua
149,Rua
150,Rua
151,Rua
152,Rua
153,Rua
154,Rua
155,Rua
156,Rua
157,Rua
158,Rua
159,Rua
160,Rua
161,Rua
162,Rua
163,Rua
164,Rua
165,Rua
166,Rua
167,Rua
168,Rua
169,Rua
170,Rua
171,Rua
172,Rua
173,Rua
174,Rua
175,Rua
176,Rua
177,Rua
178,Rua
179,Rua
180,Rua
181,Rua
182,Rua
183,Rua
184,Rua
185,Rua
186,Rua
187,Rua
188,Rua
189,Rua
190,Rua
191,Rua
192,Rua
193,Rua
194,Rua
195,Rua
196,Rua
197,Rua
198,Rua
199,Rua
200,Rua
201,Rua
202,Rua
203,Rua
204,Rua
205,Rua
206,Rua
207,Rua
208,Rua
209,Rua
210,Rua
211,Rua
